127.0.0.1 - - [11/Jul/2023:08:07:20 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/styles/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/styles/iznajmljivanjeVozila.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/styles/prikazJednogObjekta.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/styles/registracija.css HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/registracijaKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/styles/prikazPorudzbinaKupca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/izmenaKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/styles/pocetna.css HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/pregledKorpe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/iznajmljivanjeVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazSvihVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/dodavanjeVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazJednogObjekta.js HTTP/1.1" 200 12740
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazSvihKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prijava.js HTTP/1.1" 200 9258
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazPorudzbineKupac.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazPorudzbinaKupca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/pocetna.js HTTP/1.1" 200 24494
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazPorudzbinaMenadzer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/pregledKomentara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/kreiranjeObjekta.js HTTP/1.1" 200 14541
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazMenadzerovogObjekta.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /WebShopREST/components/prikazKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:21 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:22 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:22 +0200] "GET /WebShopREST/rest/lokacije/dobaviSveAdrese HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:22 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/styles/pocetna.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/styles/registracija.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/styles/iznajmljivanjeVozila.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/styles/prikazPorudzbinaKupca.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/styles/prikazJednogObjekta.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/styles/profile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/pocetna.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prijava.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/izmenaKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/registracijaKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/kreiranjeObjekta.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/iznajmljivanjeVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prikazJednogObjekta.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/pregledKorpe.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prikazSvihVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/dodavanjeVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prikazVozila.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prikazSvihKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prikazPorudzbinaKupca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prikazPorudzbineKupac.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/prikazPorudzbinaMenadzer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:27 +0200] "GET /WebShopREST/components/pregledKomentara.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:28 +0200] "GET /WebShopREST/components/prikazMenadzerovogObjekta.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:28 +0200] "GET /WebShopREST/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:28 +0200] "GET /WebShopREST/components/prikazKorisnika.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:30 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:30 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:30 +0200] "GET /WebShopREST/rest/lokacije/dobaviSveAdrese HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:07:30 +0200] "POST /WebShopREST/rest/korisnik/ulogovan HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:07 +0200] "GET /WebShopREST/rest/rentACarObjekat/pretrazi/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:10 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:16 +0200] "GET /WebShopREST/rest/rentACarObjekat/pretrazi/default/kombi/default/0 HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:19 +0200] "GET /WebShopREST/rest/rentACarObjekat/pretrazi/default/mobilehome/default/0 HTTP/1.1" 200 4819
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:22 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:33 +0200] "GET /WebShopREST/rest/rentACarObjekat/pretrazi/default/defaultni/default/5 HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:37 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:38 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/lokacija/true/defaultna/defaultna/false/default/defaultni/default/0 HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:39 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/lokacija/false/defaultna/defaultna/false/default/defaultni/default/0 HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:40 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/prosecnaOcena/true/defaultna/defaultna/false/default/defaultni/default/0 HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:40 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/prosecnaOcena/false/defaultna/defaultna/false/default/defaultni/default/0 HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:41 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/naziv/undefined/defaultna/defaultna/false/default/defaultni/default/0 HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:45 +0200] "GET /WebShopREST/rest/rentACarObjekat/pretrazi/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:47 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/prosecnaOcena/true/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:47 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/prosecnaOcena/false/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:47 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/prosecnaOcena/true/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:49 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/lokacija/true/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:49 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/lokacija/false/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:09:49 +0200] "GET /WebShopREST/rest/rentACarObjekat/sort/lokacija/true/defaultna/defaultna/false/neki/defaultni/default/0 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:02 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviSve HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [11/Jul/2023:08:10:03 +0200] "GET /WebShopREST/rest/rentACarObjekat/dobaviObjekat/1 HTTP/1.1" 200 3187
